sample_id,file,token_count,llm_token_count,expected_count,llm_count,tp,fp,fn,precision,recall,exact_match,ex_llm_count,ex_tp,ex_fp,ex_fn,ex_precision,ex_recall,ex_exact_match
1-194416,correction_report.json,78,78,7,6,0,6,7,0.0,0.0,0,7,6,1,1,0.8571,0.8571,0
1-114700,correction_report.json,79,79,7,7,1,6,6,0.1429,0.1429,0,11,4,7,3,0.3636,0.5714,0
1-31095,correction_report.json,92,93,11,41,7,34,4,0.1707,0.6364,0,13,9,4,2,0.6923,0.8182,0
1-352420,correction_report.json,127,124,16,86,11,75,5,0.1279,0.6875,0,15,11,4,5,0.7333,0.6875,0
1-57917,correction_report.json,130,133,14,7,1,6,13,0.1429,0.0714,0,18,12,6,2,0.6667,0.8571,0
1-276170,correction_report.json,257,257,36,28,6,22,30,0.2143,0.1667,0,54,27,27,9,0.5,0.75,0
1-231049,correction_report.json,260,256,33,17,0,17,33,0.0,0.0,0,38,30,8,3,0.7895,0.9091,0
1-303791,correction_report.json,355,351,34,86,18,68,16,0.2093,0.5294,0,44,27,17,7,0.6136,0.7941,0
1-123881,correction_report.json,377,379,57,18,6,12,51,0.3333,0.1053,0,72,46,26,11,0.6389,0.807,0
1-115611,correction_report.json,559,564,51,76,6,70,45,0.0789,0.1176,0,72,35,37,16,0.4861,0.6863,0
1-97721,correction_report.json,570,569,56,5,0,5,56,0.0,0.0,0,78,38,40,18,0.4872,0.6786,0
